TimeStamp,SL No,Student Performance,Time Management,Effectiveness of road map and Documentation,Contribution to understanding of theory,Contribution to Coding/Software development skills,Student Background,,,,,
0,1,7,> 15 Hours,100% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement,Background was sufficient,,,,< 5 Hours,100% Sufficient
0,2,2,5-10 Hours,>90% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement,Background was sufficient,,,,5-10 Hours,>90% Sufficient
0,3,2,5-10 Hours,>75% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,This lab did not bring about a serious improvement,Background was sufficient,,,,10-15 Hours,>75% Sufficient
0,4,5,< 5 Hours,>75% Sufficient,Those who have done the lab have a minor advantage in understanding the theory,The lab brought about moderate improvement,Background was sufficient,,,,> 15 Hours,>50% Sufficient
0,5,3,5-10 Hours,>75% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought a considerable improvement,Background was sufficient,,,,,
0,6,2,5-10 Hours,>90% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought a considerable improvement,Background was sufficient,,,,,
0,7,2,5-10 Hours,>90% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought a considerable improvement,Background was sufficient,,,,,
0,8,7,> 15 Hours,>90% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought a considerable improvement,Background was sufficient,,,,,
0,9,5,10-15 Hours,>75% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement,Background was sufficient,,,,,
0,10,6,5-10 Hours,>75% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement,Background was sufficient,,,,,
0,11,1,5-10 Hours,>90% Sufficient,Those who have done the lab have a minor advantage in understanding the theory,The lab brought about moderate improvement,Compilers,,,,,
0,12,6,10-15 Hours,>75% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement,Background was sufficient,,,,,
0,13,6,10-15 Hours,100% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement,Background was sufficient,,,,,
0,14,2,5-10 Hours,>90% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement,Background was sufficient,,,,,
0,15,1,5-10 Hours,>90% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought a considerable improvement,Background was sufficient,,,,,
0,16,2,5-10 Hours,>75% Sufficient,Those who have done the lab have a minor advantage in understanding the theory,The lab brought about moderate improvement,Computer Organization/Hardware,,,,,
0,17,1,5-10 Hours,100% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement,Background was sufficient,,,,,
0,18,2,5-10 Hours,>90% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought a considerable improvement,Computer Organization/Hardware,,,,,
0,19,7,5-10 Hours,>90% Sufficient,Those who have done the lab have a minor advantage in understanding the theory,The lab brought a considerable improvement,Background was sufficient,,,,,
0,20,6,5-10 Hours,>90% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought a considerable improvement,Background was sufficient,,,,,
0,21,2,< 5 Hours,>90% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement,Computer Organization/Hardware,,,,,
0,22,7,10-15 Hours,>90% Sufficient,Those who have done the lab have a minor advantage in understanding the theory,The lab brought about moderate improvement,Background was sufficient,,,,,
0,23,2,5-10 Hours,100% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,This lab did not bring about a serious improvement,Background was sufficient,,,,,
0,24,2,5-10 Hours,>90% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement,Computer Organization/Hardware,,,,,
0,25,,5-10 Hours,>75% Sufficient,Those who have done the lab have a minor advantage in understanding the theory,The lab brought about moderate improvement,Computer Organization/Hardware,,,,,
0,26,5,5-10 Hours,>90% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement,"Programming,Datastuctures",,,,,
0,27,2,> 15 Hours,100% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought a considerable improvement,Background was sufficient,,,,,
0,28,5,5-10 Hours,>90% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought a considerable improvement,Background was sufficient,,,,,
0,29,2,5-10 Hours,>90% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement,Background was sufficient,,,,,
0,30,,10-15 Hours,>90% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,This lab did not bring about a serious improvement,Compilers,,,,,
0,31,3,10-15 Hours,>90% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought a considerable improvement,Background was sufficient,,,,,
0,32,2,5-10 Hours,>90% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought a considerable improvement,Background was sufficient,,,,,
0,33,4,5-10 Hours,>90% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought a considerable improvement,Background was sufficient,,,,,
0,34,5,> 15 Hours,>75% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement,Compilers,,,,,
0,35,2,< 5 Hours,100% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought a considerable improvement,Computer Organization/Hardware,,,,,
0,36,4,5-10 Hours,>90% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement,Background was sufficient,,,,,
0,37,6,10-15 Hours,100% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought a considerable improvement,Background was sufficient,,,,,
0,38,4,10-15 Hours,100% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement,Background was sufficient,,,,,
0,39,4,5-10 Hours,>90% Sufficient,Those who have done the lab have a minor advantage in understanding the theory,The lab brought a considerable improvement,Background was sufficient,,,,,
0,40,7,10-15 Hours,>90% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement,Background was sufficient,,,,,
0,41,4,10-15 Hours,>50% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement,Computer Organization/Hardware,,,,,
0,42,7,> 15 Hours,>90% Sufficient,Those who have done the lab have a minor advantage in understanding the theory,This lab did not bring about a serious improvement,Background was sufficient,,,,,
0,43,2,5-10 Hours,>90% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought a considerable improvement,Background was sufficient,,,,,
0,44,6,> 15 Hours,>75% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,This lab did not bring about a serious improvement,Computer Organization/Hardware,,,,,
0,45,,10-15 Hours,,Those who have done the lab have a clear advantage in understanding the theory,The lab brought a considerable improvement,Background was sufficient,,,,,
0,46,2,10-15 Hours,>90% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought a considerable improvement,Background was sufficient,,,,,
0,47,2,5-10 Hours,>90% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement,Computer Organization/Hardware,,,,,
0,48,4,10-15 Hours,>90% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement,Background was sufficient,,,,,
0,49,5,5-10 Hours,>90% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement,Compilers,,,,,
0,50,5,10-15 Hours,>90% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement,Compilers,,,,,
0,51,2,10-15 Hours,>90% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement,Compilers,,,,,
0,52,3,5-10 Hours,>75% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement,Computer Organization/Hardware,,,,,
0,53,6,10-15 Hours,>90% Sufficient,Those who have done the lab have a clear advantage in understanding the theory,The lab brought a considerable improvement,Background was sufficient,,,,,
